Generation; Variation; Genome; Species; Parent; Score; Fitness; Power; Angle
6; 0.01428571; 3575; 1978; -1; 0.5773141; 0.385211; 1.921031; 0.2616257
7; 0.0125; 3383; 976; 2886; 127.741; 109.6825; 180.5844; 0.1478189
7; 0.0125; 3576; 976; 3383; 105.9928; 88.3679; 176.2486; 0.05623434
7; 0.0125; 2886; 976; 2784; 122.9773; 104.1692; 188.0813; 0.5732605
7; 0.0125; 3577; 976; 2886; 97.66922; 78.07481; 195.9441; 0.2054202
7; 0.0125; 3578; 1979; -1; 1.454581; 0.08801015; 13.6657; 0.2690863
7; 0.0125; 3564; 1966; 3556; 47.49798; 43.99221; 35.05768; 0.5931615
7; 0.0125; 3579; 1966; 3564; 31.0386; 26.32946; 47.09132; 0.1809801
7; 0.0125; 3556; 1966; -1; 23.16688; 18.61058; 45.56296; 0.09895355
7; 0.0125; 3580; 1966; 3556; 46.45242; -99957.66; 41.13506; 1.687984
7; 0.0125; 3581; 1980; -1; 0.6548948; -13.15287; 138.0776; 0.2591806
7; 0.0125; 3543; 1903; 3458; 45.7399; 39.25493; 64.84971; 0.9327486
7; 0.0125; 3582; 1903; 3543; -59.2046; -100065.3; 61.34418; 1.715122
7; 0.0125; 3562; 1903; 3458; 44.41481; 38.23946; 61.75359; 0.7595845
7; 0.0125; 3583; 1903; 3562; 57.18554; -99949.2; 63.78939; 2.096489
7; 0.0125; 3584; 1981; -1; -14.66911; -100073.8; 591.215; 1.845355
7; 0.0125; 3551; 1901; 3456; 1.35919; 1.009487; 3.497033; 0.2796166
7; 0.0125; 3585; 1901; 3551; 1.38594; 1.038835; 3.471043; 0.2807226
7; 0.0125; 3529; 1901; 3456; 1.303963; 0.9426691; 3.612936; 0.2780853
7; 0.0125; 3586; 1901; 3529; 1.248853; 0.8013947; 4.47458; 0.2793982
7; 0.0125; 3587; 1982; -1; -1.678022; -148.855; 1471.77; 0.2717063
7; 0.0125; 3588; 1983; -1; -26.78753; -100039.3; 124.7714; 1.756441
7; 0.0125; 3589; 1984; -1; -12.37242; -29.72573; 173.5331; 0.02662345
7; 0.0125; 3590; 1985; -1; -0.2313034; -6.252231; 60.20927; 0.2809742
7; 0.0125; 3591; 1986; -1; 1.042649; -7.060881; 81.0353; 0.2583935
7; 0.0125; 3592; 1987; -1; 11.32792; 5.713106; 56.14812; 0.2850202
8; 0.01111111; 3383; 976; 2886; 127.741; 109.6825; 180.5844; 0.1478189
8; 0.01111111; 3593; 976; 3383; 119.3587; 99.53043; 198.2823; 0.0018533
8; 0.01111111; 2886; 976; 2784; 122.9773; 104.1692; 188.0813; 0.5732605
8; 0.01111111; 3594; 976; 2886; 104.8882; 86.30968; 185.785; 0.3914791
8; 0.01111111; 3595; 1988; -1; -18.83944; -42.3792; 235.3976; 0.002028852
8; 0.01111111; 3564; 1966; 3556; 47.49798; 43.99221; 35.05768; 0.5931615
8; 0.01111111; 3596; 1966; 3564; 2.570571; -1.21364; 37.84212; 0.1079977
8; 0.01111111; 3579; 1966; 3564; 31.0386; 26.32946; 47.09132; 0.1809801
8; 0.01111111; 3597; 1966; 3579; 35.28663; -99970.46; 57.48198; 4.355731
8; 0.01111111; 3598; 1989; -1; -24.42483; -68.59653; 441.7171; 0.06410001
8; 0.01111111; 3543; 1903; 3458; 45.7399; 39.25493; 64.84971; 0.9327486
8; 0.01111111; 3599; 1903; 3543; 14.60326; 8.20225; 64.01012; 0.5018684
8; 0.01111111; 3562; 1903; 3458; 44.41481; 38.23946; 61.75359; 0.7595845
8; 0.01111111; 3600; 1903; 3562; 34.24911; -99971.91; 61.56725; 1.748687
8; 0.01111111; 3601; 1990; -1; -2.676735; -76.25668; 735.7994; 0.2692971
8; 0.01111111; 3592; 1987; -1; 11.32792; 5.713106; 56.14812; 0.2850202
8; 0.01111111; 3602; 1987; 3592; 2.638859; -0.7419745; 33.80833; 0.2611856
8; 0.01111111; 3603; 1991; -1; 0.2774604; -76.60864; 768.861; 0.2676834
8; 0.01111111; 3604; 1992; -1; 19.70712; -100025; 446.722; 1.907158
8; 0.01111111; 3605; 1993; -1; -0.6452949; -0.9389023; 2.936074; 0.2699085
8; 0.01111111; 3606; 1994; -1; -10.54432; -100032.7; 221.4853; 1.795305
8; 0.01111111; 3607; 1995; -1; -5.55719; -35.90522; 303.4803; 0.1052846
8; 0.01111111; 3608; 1996; -1; -1.772085; -18.68638; 169.143; 0.0003090313
8; 0.01111111; 3609; 1997; -1; -2.117926; -6.617782; 44.99856; 0.2786657
8; 0.01111111; 3610; 1998; -1; -0.2811083; -0.7070103; 4.259019; 0.2725134
9; 0.01; 3383; 976; 2886; 127.741; 109.6825; 180.5844; 0.1478189
9; 0.01; 3611; 976; 3383; 95.13231; 75.60601; 195.263; 0.00189295
9; 0.01; 2886; 976; 2784; 122.9773; 104.1692; 188.0813; 0.5732605
9; 0.01; 3612; 976; 2886; 113.8399; 94.96696; 188.7296; 0.003991501
9; 0.01; 3613; 1999; -1; 16.28686; -82.90443; 991.9129; 0.3083279
9; 0.01; 3564; 1966; 3556; 47.49798; 43.99221; 35.05768; 0.5931615
9; 0.01; 3614; 1966; 3564; 31.41169; -99974.02; 54.2844; 4.391561
9; 0.01; 3579; 1966; 3564; 31.0386; 26.32946; 47.09132; 0.1809801
9; 0.01; 3615; 1966; 3579; 26.72544; -99978.68; 54.07561; 1.704709
9; 0.01; 3616; 2000; -1; -40.12265; -47.80408; 76.81435; 0.224407
9; 0.01; 3543; 1903; 3458; 45.7399; 39.25493; 64.84971; 0.9327486
9; 0.01; 3617; 1903; 3543; 19.64485; -99986.6; 62.4479; 2.689524
9; 0.01; 3562; 1903; 3458; 44.41481; 38.23946; 61.75359; 0.7595845
9; 0.01; 3618; 1903; 3562; 49.65356; 43.61446; 60.39091; 0.09934387
9; 0.01; 3619; 2001; -1; 1.730608; 1.506952; 2.236552; 0.2760988
9; 0.01; 3592; 1987; -1; 11.32792; 5.713106; 56.14812; 0.2850202
9; 0.01; 3620; 1987; 3592; -1.004542; -4.624795; 36.20253; 0.258525
9; 0.01; 3602; 1987; 3592; 2.638859; -0.7419745; 33.80833; 0.2611856
9; 0.01; 3621; 1987; 3602; -0.8141486; -1.659146; 8.449969; 0.2589274
9; 0.01; 3622; 2002; -1; -7.270814; -70.25249; 629.8168; 0.2027091
9; 0.01; 3623; 2003; -1; 0.6072366; -35.3463; 359.5354; 0.2568722
9; 0.01; 3624; 2004; -1; 5.373585; -100042.7; 480.2775; 1.735245
9; 0.01; 3625; 2005; -1; -2.543438; -77.07146; 745.2802; 0.2763741
9; 0.01; 3626; 2006; -1; -1.37374; -100027; 256.7585; 1.733754
9; 0.01; 3627; 2007; -1; -38.43031; -85.84994; 474.1963; 0.4248266
10; 0.009090909; 3383; 976; 2886; 127.741; 109.6825; 180.5844; 0.1478189
10; 0.009090909; 3628; 976; 3383; 112.5311; 93.66418; 188.6694; 0.04743567
10; 0.009090909; 2886; 976; 2784; 122.9773; 104.1692; 188.0813; 0.5732605
10; 0.009090909; 3629; 976; 2886; 112.144; 93.6889; 184.5511; 0.04005814
10; 0.009090909; 3630; 2008; -1; 0.5112908; -1.249104; 17.60394; 0.238829
10; 0.009090909; 3564; 1966; 3556; 47.49798; 43.99221; 35.05768; 0.5931615
10; 0.009090909; 3631; 1966; 3564; 38.45554; -99967.02; 54.72434; 1.813739
10; 0.009090909; 3579; 1966; 3564; 31.0386; 26.32946; 47.09132; 0.1809801
10; 0.009090909; 3632; 1966; 3579; 9.816517; -99996.2; 60.15191; 1.675539
10; 0.009090909; 3633; 2009; -1; 85.64713; -99933.12; 187.6594; 2.015509
10; 0.009090909; 3618; 1903; 3562; 49.65356; 43.61446; 60.39091; 0.09934387
10; 0.009090909; 3634; 1903; 3618; -65.02554; -100071.1; 60.82343; 1.736807
10; 0.009090909; 3543; 1903; 3458; 45.7399; 39.25493; 64.84971; 0.9327486
