Variation; Generation; Genome; Parent; Score
0.0001;9;1306; 1279; 55.89188
0.0001;9;1279; 1223; 55.89554
0.0001;9;1287; 1246; 55.89862
0.0001;9;1237; 1206; 55.8996
0.0001;9;1268; 1252; 55.90265
0.0001;9;1236; 1187; 55.90492
0.0001;9;1246; 1231; 55.90736
0.0001;9;1301; 1206; 55.91985
0.0001;9;1251; 1188; 55.92574
0.0001;9;1292; 1138; 55.92767
0.0001;9;1274; 1138; 55.94846
0.0001;10;1339; 1320; 55.78558
0.0001;10;1340; 1278; 55.75496
0.0001;10;1341; 1316; 55.75382
0.0001;10;1342; 1321; 55.8657
0.0001;10;1343; 1223; 55.83483
0.0001;10;1344; 1319; 55.59059
0.0001;10;1345; 1206; 55.76508
0.0001;10;1346; 1256; 55.82125
0.0001;10;1347; 1245; 54.4318
0.0001;10;1348; 1211; 55.6185
0.0001;10;1349; 1313; 55.5144
0.0001;10;1350; 1242; 55.83844
0.0001;10;1351; 1306; 55.79807
0.0001;10;1352; 1279; 55.84595
0.0001;10;1353; 1287; 54.83587
0.0001;10;1354; 1237; 55.89381
0.0001;10;1355; 1268; 55.78806
0.0001;10;1356; 1236; 55.89317
0.0001;10;1357; 1246; 55.8494
0.0001;10;1358; 1335; 55.87152
0.0001;10;1359; 1301; 55.85685
0.0001;10;1360; 1251; 55.84452
0.0001;10;1361; 1292; 55.84651
0.0001;10;1362; 1323; 55.8506
0.0001;10;1363; 1274; 55.83117
0.0001;10;1320; 1278; 55.8655
0.0001;10;1278; 1225; 55.8661
0.0001;10;1316; 1272; 55.86802
0.0001;10;1321; 1223; 55.86819
0.0001;10;1223; 1208; 55.87243
0.0001;10;1319; 1225; 55.87364
0.0001;10;1206; 1162; 55.87462
0.0001;10;1256; 1238; 55.87561
0.0001;10;1245; 1186; 55.87659
0.0001;10;1211; 1113; 55.87729
0.0001;10;1313; 1274; 55.89023
0.0001;10;1242; 1228; 55.89071
0.0001;10;1306; 1279; 55.89188
0.0001;10;1279; 1223; 55.89554
0.0001;10;1287; 1246; 55.89862
0.0001;10;1237; 1206; 55.8996
0.0001;10;1268; 1252; 55.90265
0.0001;10;1236; 1187; 55.90492
0.0001;10;1246; 1231; 55.90736
0.0001;10;1335; 1301; 55.91016
0.0001;10;1301; 1206; 55.91985
0.0001;10;1251; 1188; 55.92574
0.0001;10;1292; 1138; 55.92767
0.0001;10;1323; 1256; 55.94246
0.0001;10;1274; 1138; 55.94846
0.0001;11;1364; 1321; 55.70018
0.0001;11;1365; 1358; 55.87965
0.0001;11;1366; 1223; 55.7901
0.0001;11;1367; 1319; 55.84526
0.0001;11;1368; 1206; 55.92496
0.0001;11;1369; 1256; 55.86252
0.0001;11;1370; 1245; 54.87695
0.0001;11;1371; 1211; 55.58332
0.0001;11;1372; 1313; 55.6506
0.0001;11;1373; 1242; 55.80302
0.0001;11;1374; 1306; 55.66356
0.0001;11;1375; 1356; 55.87244
0.0001;11;1376; 1354; 55.77763
0.0001;11;1377; 1279; 55.65198
0.0001;11;1378; 1287; 55.77668
0.0001;11;1379; 1237; 55.81085
0.0001;11;1380; 1268; 55.82409
0.0001;11;1381; 1236; 55.79709
0.0001;11;1382; 1246; 55.56615
0.0001;11;1383; 1335; 55.81592
0.0001;11;1384; 1301; 55.84934
0.0001;11;1385; 1251; 55.65855
0.0001;11;1386; 1292; 55.84289
0.0001;11;1387; 1323; 55.81381
0.0001;11;1388; 1274; 55.88142
0.0001;11;1321; 1223; 55.86819
0.0001;11;1358; 1335; 55.87152
0.0001;11;1223; 1208; 55.87243
0.0001;11;1319; 1225; 55.87364
0.0001;11;1206; 1162; 55.87462
0.0001;11;1256; 1238; 55.87561
0.0001;11;1245; 1186; 55.87659
0.0001;11;1211; 1113; 55.87729
0.0001;11;1313; 1274; 55.89023
0.0001;11;1242; 1228; 55.89071
0.0001;11;1306; 1279; 55.89188
0.0001;11;1356; 1236; 55.89317
0.0001;11;1354; 1237; 55.89381
0.0001;11;1279; 1223; 55.89554
0.0001;11;1287; 1246; 55.89862
0.0001;11;1237; 1206; 55.8996
0.0001;11;1268; 1252; 55.90265
0.0001;11;1236; 1187; 55.90492
0.0001;11;1246; 1231; 55.90736
0.0001;11;1335; 1301; 55.91016
0.0001;11;1301; 1206; 55.91985
0.0001;11;1251; 1188; 55.92574
0.0001;11;1292; 1138; 55.92767
0.0001;11;1323; 1256; 55.94246
0.0001;11;1274; 1138; 55.94846
0.0001;12;1389; 1319; 55.81852
0.0001;12;1390; 1206; 55.85176
0.0001;12;1391; 1256; 55.84209
0.0001;12;1392; 1245; 54.61473
0.0001;12;1393; 1211; 55.84822
0.0001;12;1394; 1365; 55.75922
0.0001;12;1395; 1388; 55.89104
0.0001;12;1396; 1313; 55.82926
0.0001;12;1397; 1242; 55.91794
0.0001;12;1398; 1306; 55.83977
0.0001;12;1399; 1356; 55.73323
0.0001;12;1400; 1354; 55.73506
0.0001;12;1401; 1279; 55.7596
0.0001;12;1402; 1287; 55.839
0.0001;12;1403; 1237; 55.55155
0.0001;12;1404; 1268; 55.78102
0.0001;12;1405; 1236; 55.81834
0.0001;12;1406; 1246; 55.8391
0.0001;12;1407; 1335; 55.85757
0.0001;12;1408; 1301; 55.81807
0.0001;12;1409; 1368; 55.92955
0.0001;12;1410; 1251; 55.80171
0.0001;12;1411; 1292; 55.85489
0.0001;12;1412; 1323; 55.84584
0.0001;12;1413; 1274; 55.73711
0.0001;12;1319; 1225; 55.87364
0.0001;12;1206; 1162; 55.87462
0.0001;12;1256; 1238; 55.87561
0.0001;12;1245; 1186; 55.87659
0.0001;12;1211; 1113; 55.87729
0.0001;12;1365; 1358; 55.87965
0.0001;12;1388; 1274; 55.88142
0.0001;12;1313; 1274; 55.89023
0.0001;12;1242; 1228; 55.89071
0.0001;12;1306; 1279; 55.89188
0.0001;12;1356; 1236; 55.89317
0.0001;12;1354; 1237; 55.89381
0.0001;12;1279; 1223; 55.89554
0.0001;12;1287; 1246; 55.89862
0.0001;12;1237; 1206; 55.8996
0.0001;12;1268; 1252; 55.90265
0.0001;12;1236; 1187; 55.90492
0.0001;12;1246; 1231; 55.90736
0.0001;12;1335; 1301; 55.91016
0.0001;12;1301; 1206; 55.91985
0.0001;12;1368; 1206; 55.92496
0.0001;12;1251; 1188; 55.92574
0.0001;12;1292; 1138; 55.92767
0.0001;12;1323; 1256; 55.94246
0.0001;12;1274; 1138; 55.94846
0.0001;13;1414; 1245; 54.43051
0.0001;13;1415; 1211; 55.75985
0.0001;13;1416; 1365; 55.77231
0.0001;13;1417; 1388; 55.79185
0.0001;13;1418; 1313; 55.79716
0.0001;13;1419; 1242; 55.83395
0.0001;13;1420; 1395; 55.7594
0.0001;13;1421; 1306; 55.79706
0.0001;13;1422; 1356; 55.79449
0.0001;13;1423; 1354; 54.46608
0.0001;13;1424; 1279; 55.86795
0.0001;13;1425; 1287; 55.82623
0.0001;13;1426; 1237; 55.88969
0.0001;13;1427; 1268; 55.80898
0.0001;13;1428; 1236; 55.82611
0.0001;13;1429; 1246; 55.79313
0.0001;13;1430; 1335; 55.90662
0.0001;13;1431; 1397; 55.69283
0.0001;13;1432; 1301; 55.77324
0.0001;13;1433; 1368; 55.82
0.0001;13;1434; 1251; 55.82996
0.0001;13;1435; 1292; 55.81565
0.0001;13;1436; 1409; 55.66368
0.0001;13;1437; 1323; 55.82109
0.0001;13;1438; 1274; 55.84433
0.0001;13;1245; 1186; 55.87659
0.0001;13;1211; 1113; 55.87729
0.0001;13;1365; 1358; 55.87965
0.0001;13;1388; 1274; 55.88142
0.0001;13;1313; 1274; 55.89023
0.0001;13;1242; 1228; 55.89071
0.0001;13;1395; 1388; 55.89104
0.0001;13;1306; 1279; 55.89188
0.0001;13;1356; 1236; 55.89317
0.0001;13;1354; 1237; 55.89381
0.0001;13;1279; 1223; 55.89554
0.0001;13;1287; 1246; 55.89862
0.0001;13;1237; 1206; 55.8996
0.0001;13;1268; 1252; 55.90265
0.0001;13;1236; 1187; 55.90492
0.0001;13;1246; 1231; 55.90736
0.0001;13;1335; 1301; 55.91016
0.0001;13;1397; 1242; 55.91794
0.0001;13;1301; 1206; 55.91985
0.0001;13;1368; 1206; 55.92496
0.0001;13;1251; 1188; 55.92574
0.0001;13;1292; 1138; 55.92767
0.0001;13;1409; 1368; 55.92955
0.0001;13;1323; 1256; 55.94246
0.0001;13;1274; 1138; 55.94846
0.0001;14;1439; 1365; 55.80592
0.0001;14;1440; 1388; 55.75446
0.0001;14;1441; 1426; 55.80346
0.0001;14;1442; 1313; 55.75917
